timestamp,action,question,amount,price,pnl,result
2026-01-15T12:39:22Z,SELL,Will the median home value in the US be between $4,4.871217997487613,0.022503436388234294,-20.587182169872616,LOSS
2026-01-15T12:39:23Z,SELL,Supreme Court rules in favor of Trump's tariffs?,463.47496580464707,0.3058934774310671,-40.37104899202868,LOSS
2026-01-15T12:39:25Z,SELL,Bills vs. Broncos,235.27630311510734,0.46114155410561036,-15.971254392772407,LOSS
2026-01-15T12:39:26Z,SELL,Will Trump acquire Greenland before 2027?,481.0150664571339,0.1731654239245682,-24.46686208057675,LOSS
2026-01-15T12:39:27Z,SELL,"Will UBS fail by June 30, 2026?",17.49938512304081,0.03378911975871946,-7.58399934681919,LOSS
2026-01-15T12:39:28Z,SELL,Will Trump nominate Kevin Hassett as the next Fed ,466.81327519750636,0.3440655614005525,-32.615035257291716,LOSS
2026-01-15T12:39:29Z,SELL,Will the Chicago Bears win Super Bowl 2026?,449.2351371609671,0.05031433536202832,-51.583796023590985,LOSS
2026-01-15T12:39:30Z,SELL,Will the San Francisco 49ers win Super Bowl 2026?,423.18809351925455,0.040832338887315175,-73.6744413811466,LOSS
2026-01-15T12:39:32Z,SELL,"Will Bitcoin dip to $85,000 in January?",398.4570498979033,0.11156797397141292,-96.1726836258319,LOSS
2026-01-15T12:39:38Z,BUY,Will André Ventura win the 2026 Portugal president,500.0,0.05926454281646233,,
2026-01-15T12:39:39Z,BUY,Bills vs. Broncos,250.0,0.47984878945689263,,
2026-01-15T12:39:40Z,BUY,Will the Chicago Bears win Super Bowl 2026?,500.0,0.05545739609231868,,
2026-01-15T12:39:41Z,BUY,"Will Bitcoin dip to $85,000 in January?",500.0,0.13120869520768383,,
2026-01-15T12:39:42Z,BUY,ASB Classic: Ben Shelton vs Sebastian Baez,250.0,0.5052534671628145,,
2026-01-15T12:40:18Z,BUY,Will Trump acquire Greenland before 2027?,470.9661303604766,0.18167847360002043,,
2026-01-15T12:40:19Z,BUY,Will Trump nominate Kevin Hassett as the next Fed ,423.86951732442895,0.34630916450710214,,
2026-01-15T12:41:30Z,BUY,"Will the price of Bitcoin be above $98,000 on Janu",249.99999999999997,0.11148283134155423,,
2026-01-15T12:41:31Z,SELL,"Will the price of Bitcoin be above $98,000 on Janu",189.62300486443496,0.08615787203982378,-55.73715746651666,LOSS
2026-01-15T12:41:32Z,BUY,"Will the price of Bitcoin be above $96,000 on Janu",250.0,0.21969383160178993,,
2026-01-15T12:44:59Z,SELL,Khamenei out as Supreme Leader of Iran by March 31,227.53043185422652,0.3436306617356176,-99.86103028298075,LOSS
2026-01-15T12:45:07Z,BUY,Will Al Najmah Saudi Club win on 2026-01-16?,373.19790926385224,0.28471627080657186,,
2026-01-15T12:48:44Z,SELL,Khamenei out as Supreme Leader of Iran by January ,288.14858685692633,0.1290302262913895,-164.19902450633012,LOSS
2026-01-15T12:49:54Z,SELL,Bitcoin Up or Down on January 15?,312.9573680216797,0.25036589441734375,62.670091762564994,WIN
2026-01-15T12:49:56Z,BUY,"Will the price of Bitcoin be above $98,000 on Janu",250.0,0.13215990629726748,,
2026-01-15T12:49:57Z,BUY,Bitcoin Up or Down on January 15?,250.0,0.2662314413272432,,
2026-01-15T12:49:58Z,BUY,"Will Bitcoin dip to $90,000 January 12-18?",250.0,0.06101998061682883,,
2026-01-15T12:49:59Z,BUY,Will Aston Villa finish in the top 4 of the EPL 20,320.9887138253277,0.2990551963012349,,
2026-01-15T12:50:04Z,SELL,"Will the price of Bitcoin be above $98,000 on Janu",184.0535561472379,0.09848661585051105,-62.92924983138382,LOSS
